feature,importance
flat_0254,0.0005198434100993105
flat_0635,0.0005187311238642302
flat_0639,0.0005084392084654575
flat_0149,0.0005074678502644511
flat_0704,0.0004996301548015977
flat_0638,0.0004944839163692528
flat_0084,0.0004887204774371196
flat_0703,0.00048770816293739594
flat_0630,0.00048691694419420573
flat_0253,0.0004754945414708181
bilateral_sync,0.0004701625327926224
flat_0119,0.00046074111725583815
flat_0765,0.00045970832677972066
flat_0086,0.00045788763017229393
flat_0767,0.0004536868463387216
flat_0569,0.0004496049719361923
flat_0252,0.0004493909434984386
flat_0250,0.00044925220795059075
flat_0637,0.0004465502198251028
flat_0763,0.00043239051411570834
flat_0524,0.00043183260928262473
flat_0255,0.0004308368735499111
flat_0251,0.00043057013147277507
flat_0576,0.0004268467491183249
flat_0590,0.0004241045000403479
flat_0591,0.00042338342334262126
flat_0166,0.0004194996158006379
flat_0109,0.0004189633556636841
flat_0766,0.0004157305651019266
flat_0402,0.0004130467092871646
flat_0065,0.00040973148841137925
flat_0592,0.0004091850691922485
flat_0565,0.0004066112293039556
flat_0401,0.000403648134637392
flat_0570,0.00038895303772127547
flat_0176,0.0003848904850539032
flat_0557,0.0003638964346567564
flat_0085,0.000360447128757032
flat_0094,0.00035989340889837124
flat_0181,0.0003589113959950655
flat_0429,0.00035377805498030336
flat_0437,0.00034041779099444543
flat_0567,0.00033599741667419904
flat_0520,0.00033383190245324444
flat_0173,0.000332824858623932
flat_0184,0.00032753099115238123
flat_0107,0.00032345303668531214
sync_correlation,0.0003176145056546762
flat_0157,0.0003121818516593868
flat_0471,0.00031147790233502533
flat_0111,0.00030866201028291245
flat_0424,0.00030497749701439514
flat_0091,0.0002976270214757666
flat_0168,0.0002947747291395365
flat_0407,0.0002910229286744118
flat_0574,0.0002903625504649688
flat_0012,0.00029001739086595044
flat_0483,0.00028905589862066093
flat_0042,0.0002888248314754559
flat_0101,0.00028863505103490675
flat_0150,0.00028851979749857726
flat_0093,0.0002833425536896855
flat_0071,0.0002789247869571786
flat_0169,0.00027685902816630486
flat_0167,0.0002753330231153091
flat_0512,0.0002748739108473143
flat_0155,0.0002731164502534306
flat_0027,0.00027264768425006914
flat_0178,0.0002723330241635846
flat_0163,0.00027114373088473387
flat_0108,0.00027021733239037483
flat_0476,0.00027004711941719015
flat_0164,0.0002698228760645935
flat_0059,0.00026921399932264604
flat_0070,0.0002674544493287706
flat_0139,0.0002673304109073298
flat_0487,0.0002672434483850121
flat_0454,0.0002664974235770128
flat_0019,0.0002663398436902538
flat_0392,0.00026302836418246636
flat_0406,0.0002625735681840303
flat_0029,0.00026162184536785153
flat_0126,0.0002601554658099388
flat_0146,0.0002583509706946343
flat_0390,0.00025819740028567586
flat_0133,0.0002577721506847335
flat_0439,0.00025713671660932617
flat_0014,0.0002563927677409452
flat_0024,0.00025592571754859904
flat_0083,0.00025539133627400554
flat_0555,0.0002548474685262717
flat_0489,0.000254033721770054
flat_0404,0.0002535998077585076
flat_0172,0.0002534612344447169
flat_0409,0.0002533879759848074
flat_0553,0.00025311308848379295
flat_0082,0.00025237994790945834
flat_0055,0.00025207763262198357
flat_0191,0.00025173443382352185
flat_0426,0.0002512523397954938
flat_0026,0.0002501853053230655
flat_0180,0.00024992621293082746
flat_0165,0.00024856337703190893
flat_0130,0.0002482494201120984
flat_0022,0.0002472415398572394
flat_0106,0.0002461761302534682
flat_0036,0.00024596637965950535
flat_0188,0.0002456137015961129
