arm,time_seconds,ax,ay,az,gx,gy,gz,mx,my,mz
arm1,431.467,-0.3145904541015625,-0.85528564453125,0.3570098876953125,-0.0037553233560174704,-0.24839995801448822,0.023914920166134834,51.318450927734375,91.8304443359375,-152.64443969726562
arm1,431.487,-0.31597900390625,-0.862060546875,0.345458984375,0.05888834968209267,-0.30600252747535706,0.02803642861545086,51.297943115234375,91.91212463378906,-152.76043701171875
arm1,431.508,-0.3187408447265625,-0.87322998046875,0.341217041015625,0.11212147772312164,-0.3402446508407593,0.015295599587261677,51.40716552734375,92.08583068847656,-152.6827850341797
arm1,431.527,-0.33209228515625,-0.88079833984375,0.339599609375,0.1495375633239746,-0.3556760847568512,-0.00983532052487135,51.07566833496094,91.81039428710938,-152.49441528320312
arm1,431.547,-0.3420257568359375,-0.8838653564453125,0.334442138671875,0.16992485523223877,-0.3468969762325287,-0.04537227377295494,51.087799072265625,91.9793701171875,-152.07675170898438
arm1,431.567,-0.35528564453125,-0.883087158203125,0.333221435546875,0.17937321960926056,-0.3191196620464325,-0.08384004235267639,51.386871337890625,91.8941650390625,-152.3421173095703
arm1,431.587,-0.363616943359375,-0.8760528564453125,0.3357086181640625,0.18302227556705475,-0.2878786623477936,-0.11386425048112869,51.283355712890625,91.80316162109375,-152.08078002929688
arm1,431.608,-0.370361328125,-0.88641357421875,0.33197021484375,0.1934930384159088,-0.23553715646266937,-0.14484666287899017,51.34233093261719,92.00306701660156,-152.07489013671875
arm1,431.627,-0.373870849609375,-0.8883819580078125,0.329132080078125,0.19534152746200562,-0.1800893396139145,-0.17317551374435425,51.42604064941406,91.84858703613281,-151.9810791015625
arm1,431.647,-0.37640380859375,-0.89276123046875,0.331512451171875,0.19004850089550018,-0.13082724809646606,-0.19209913909435272,51.562286376953125,91.85467529296875,-152.0590057373047
arm1,431.668,-0.3806610107421875,-0.8950958251953125,0.3311614990234375,0.18266941606998444,-0.10401641577482224,-0.2070530503988266,51.622711181640625,91.86953735351562,-151.9236297607422
arm1,431.687,-0.3866729736328125,-0.8922882080078125,0.32586669921875,0.16858156025409698,-0.10514319688081741,-0.20694199204444885,51.763641357421875,91.90504455566406,-151.59950256347656
arm1,431.708,-0.3851165771484375,-0.889678955078125,0.323974609375,0.1588788628578186,-0.11000266671180725,-0.19574792683124542,51.81803894042969,91.88618469238281,-151.89710998535156
arm1,431.727,-0.3892669677734375,-0.893951416015625,0.3197021484375,0.15509557723999023,-0.11179684102535248,-0.1807956099510193,52.0367431640625,91.84600830078125,-151.63357543945312
arm1,431.747,-0.396087646484375,-0.894683837890625,0.3149566650390625,0.15175357460975647,-0.11200110614299774,-0.1649114489555359,52.2830810546875,91.94073486328125,-151.33547973632812
arm1,431.767,-0.399200439453125,-0.8992767333984375,0.3108673095703125,0.14893648028373718,-0.10792593657970428,-0.14382295310497284,52.158294677734375,92.03422546386719,-151.20355224609375
arm1,431.787,-0.400970458984375,-0.8919677734375,0.308807373046875,0.1419384926557541,-0.10999201238155365,-0.12287532538175583,52.38197326660156,91.87803649902344,-150.95578002929688
arm1,431.808,-0.4052886962890625,-0.8924560546875,0.3062591552734375,0.13152100145816803,-0.10858479887247086,-0.09133923053741455,52.61705017089844,91.90998840332031,-151.19834899902344
arm1,431.827,-0.4036407470703125,-0.8906707763671875,0.3054656982421875,0.11892638355493546,-0.10116975754499435,-0.06303942203521729,52.41609191894531,91.89875793457031,-151.1305389404297
arm1,431.847,-0.4050750732421875,-0.89459228515625,0.3033905029296875,0.10642258077859879,-0.09545008838176727,-0.028735240921378136,52.37359619140625,91.98776245117188,-151.22018432617188
arm1,431.867,-0.3982696533203125,-0.883758544921875,0.3056793212890625,0.09049741178750992,-0.08535511046648026,0.005921006202697754,52.44816589355469,91.792236328125,-150.93362426757812
arm1,431.887,-0.391021728515625,-0.89178466796875,0.305816650390625,0.07362734526395798,-0.09859022498130798,0.038840871304273605,52.444976806640625,91.99298095703125,-150.67677307128906
arm1,431.908,-0.40032958984375,-0.8936614990234375,0.30987548828125,0.04267049953341484,-0.12093174457550049,0.06004070118069649,52.38624572753906,91.87672424316406,-150.89056396484375
arm1,431.927,-0.403289794921875,-0.8910675048828125,0.310028076171875,0.000874582096002996,-0.12867142260074615,0.07849746942520142,52.1826171875,91.98580932617188,-151.14356994628906
arm1,431.947,-0.4028167724609375,-0.8823089599609375,0.310272216796875,-0.04109577089548111,-0.1218649223446846,0.10268163681030273,52.26898193359375,91.97427368164062,-150.8477325439453
arm1,431.967,-0.40057373046875,-0.8778228759765625,0.31109619140625,-0.07601407170295715,-0.09738940000534058,0.11932293325662613,52.36595153808594,91.99618530273438,-150.96697998046875
